employee_id,age,years_experience,weekly_work_hours,meetings_per_week,emails_sent_per_day,projects_handled,remote_days_per_month,sleep_hours,stress_level,exercise_hours_week,sick_leaves_year,productivity_score,burnout_risk_score
1,60,4,65,28,138,5,6,9.686117062385676,6,3.268932630556065,8,80.46329943082418,23.829809968982058
2,50,9,68,5,120,6,12,5.312630250465278,5,0.10798392389511968,18,97.15067350272301,60.36951468105716
3,36,32,39,2,33,8,11,5.957323041885589,8,7.010112670950407,15,29.163623966918585,20.020964664446417
4,64,37,54,15,36,8,17,8.537153404640684,4,1.1326975306468579,15,45.15080328539668,0.0
5,29,12,47,29,49,3,18,6.36253084939244,4,7.728805774635181,17,84.81003421750856,35.43542199335459
6,42,30,48,7,198,7,14,7.64926826059868,5,4.918678219172068,10,41.29267088409412,47.7467148400655
7,60,35,65,1,173,1,7,6.667441006416571,1,7.8427981495456915,6,37.20964776368327,0.0
8,40,23,39,16,33,1,18,8.454219622538691,1,5.839265391977413,8,86.03023822951774,28.880144367350447
9,44,14,62,8,33,7,9,5.369987514211665,2,0.8243327201899076,3,98.96658912047762,14.370135675970285
10,32,28,34,29,13,9,6,4.350747923421262,8,7.656523367051831,12,64.55044721183725,47.239112819275825
11,32,7,64,11,76,7,17,5.799576384838398,7,0.6979948489474974,3,42.24389986666714,0.0
12,45,4,63,2,43,5,15,6.845851989210582,9,4.7870172056933225,18,51.885276928004316,64.82544119556673
13,57,28,62,10,194,8,19,5.008120313156072,5,1.723492141449633,1,33.61042619068872,66.40861024076571
14,61,3,50,0,186,2,5,6.128783737938332,2,7.523351779778849,8,80.95098231126019,19.584345271790454
15,45,11,46,22,190,9,8,6.399898109761411,7,9.115912278061266,11,81.87792142582143,0.0
16,24,1,51,12,125,6,20,4.3443510621296415,8,5.541261633582742,1,90.00967939059956,0.0
17,43,26,66,14,32,9,12,7.499843489105228,7,5.271472942991805,5,22.12820508772511,50.366672028499
18,23,30,44,25,118,2,20,9.306060567827725,7,7.639631963256179,4,64.95850733011034,36.03893273835849
